OrgName,PrimFocus,id_str,_boroname,_ntaname,YrFnd_Num
American Scottish Foundation,"Arts, culture, creative practices",3563,Brooklyn,Flatbush,1956
American Scottish Foundation,"Arts, culture, creative practices",3476,Brooklyn,Park Slope-Gowanus,1956
American Scottish Foundation,"Arts, culture, creative practices",6434,Queens,Queens Village,1956
American Scottish Foundation,"Arts, culture, creative practices",6049,Queens,Baisley Park,1956
American Scottish Foundation,"Arts, culture, creative practices",3763,Manhattan,Manhattanville,1956
American Scottish Foundation,"Arts, culture, creative practices",1083,Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville,1956
American Scottish Foundation,"Arts, culture, creative practices",5414,Queens,Queensboro Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",5575,Queens,Briarwood-Jamaica Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",5566,Queens,Murray Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",6424,Queens,Douglas Manor-Douglaston-Little Neck,1956
American Scottish Foundation,"Arts, culture, creative practices",3407,Brooklyn,Borough Park,1956
American Scottish Foundation,"Arts, culture, creative practices",5034,Queens,Woodhaven,1956
American Scottish Foundation,"Arts, culture, creative practices",5269,Queens,South Ozone Park,1956
American Scottish Foundation,"Arts, culture, creative practices",3720,Brooklyn,Midwood,1956
American Scottish Foundation,"Arts, culture, creative practices",3929,Queens,Queensbridge-Ravenswood-Long Island City,1956
American Scottish Foundation,"Arts, culture, creative practices",4641,Queens,Glendale,1956
American Scottish Foundation,"Arts, culture, creative practices",5813,Queens,South Jamaica,1956
American Scottish Foundation,"Arts, culture, creative practices",2397,Staten Island,Stapleton-Rosebank,1956
American Scottish Foundation,"Arts, culture, creative practices",3465,Manhattan,Murray Hill-Kips Bay,1956
American Scottish Foundation,"Arts, culture, creative practices",6345,Queens,Douglas Manor-Douglaston-Little Neck,1956
American Scottish Foundation,"Arts, culture, creative practices",3099,Brooklyn,Bath Beach,1956
American Scottish Foundation,"Arts, culture, creative practices",3333,Brooklyn,Bensonhurst West,1956
American Scottish Foundation,"Arts, culture, creative practices",5250,Queens,Whitestone,1956
American Scottish Foundation,"Arts, culture, creative practices",3998,Manhattan,East Harlem North,1956
American Scottish Foundation,"Arts, culture, creative practices",5730,Queens,Pomonok-Flushing Heights-Hillcrest,1956
American Scottish Foundation,"Arts, culture, creative practices",1386,Staten Island,New Springville-Bloomfield-Travis,1956
American Scottish Foundation,"Arts, culture, creative practices",4388,Bronx,Mott Haven-Port Morris,1956
American Scottish Foundation,"Arts, culture, creative practices",4032,Brooklyn,Flatlands,1956
American Scottish Foundation,"Arts, culture, creative practices",5887,Queens,Jamaica Estates-Holliswood,1956
American Scottish Foundation,"Arts, culture, creative practices",5646,Queens,East Flushing,1956
American Scottish Foundation,"Arts, culture, creative practices",4953,Queens,Glendale,1956
American Scottish Foundation,"Arts, culture, creative practices",4343,Brooklyn,Georgetown-Mill Basin,1956
American Scottish Foundation,"Arts, culture, creative practices",2238,Staten Island,Stapleton-Rosebank,1956
American Scottish Foundation,"Arts, culture, creative practices",924,Staten Island,Arden Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",6501,Queens,Douglas Manor-Douglaston-Little Neck,1956
American Scottish Foundation,"Arts, culture, creative practices",1465,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",3090,Brooklyn,Sunset Park West,1956
American Scottish Foundation,"Arts, culture, creative practices",3920,Manhattan,Central Harlem North-Polo Grounds,1956
American Scottish Foundation,"Arts, culture, creative practices",4188,Brooklyn,Flatlands,1956
American Scottish Foundation,"Arts, culture, creative practices",4801,Brooklyn,Cypress Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",3921,Manhattan,East Harlem North,1956
American Scottish Foundation,"Arts, culture, creative practices",5406,Queens,Whitestone,1956
American Scottish Foundation,"Arts, culture, creative practices",4645,Brooklyn,Cypress Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",2474,Staten Island,Stapleton-Rosebank,1956
American Scottish Foundation,"Arts, culture, creative practices",6283,Queens,St. Albans,1956
American Scottish Foundation,"Arts, culture, creative practices",3492,Brooklyn,Gravesend,1956
American Scottish Foundation,"Arts, culture, creative practices",6438,Queens,Cambria Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",1703,Staten Island,Oakwood-Oakwood Beach,1956
American Scottish Foundation,"Arts, culture, creative practices",3308,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,1956
American Scottish Foundation,"Arts, culture, creative practices",4795,Queens,Middle Village,1956
American Scottish Foundation,"Arts, culture, creative practices",5108,Queens,Forest Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",5030,Queens,Forest Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",3764,Manhattan,Central Harlem South,1956
American Scottish Foundation,"Arts, culture, creative practices",4072,Bronx,Highbridge,1956
American Scottish Foundation,"Arts, culture, creative practices",6032,Queens,Bayside-Bayside Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",1157,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",5498,Queens,Briarwood-Jamaica Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",6218,Queens,Far Rockaway-Bayswater,1956
American Scottish Foundation,"Arts, culture, creative practices",6589,Queens,Queens Village,1956
American Scottish Foundation,"Arts, culture, creative practices",3463,Manhattan,Murray Hill-Kips Bay,1956
American Scottish Foundation,"Arts, culture, creative practices",4797,Queens,Glendale,1956
American Scottish Foundation,"Arts, culture, creative practices",3924,Manhattan,East Harlem South,1956
American Scottish Foundation,"Arts, culture, creative practices",1230,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",5809,Queens,Briarwood-Jamaica Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",4452,Bronx,Van Cortlandt Village,1956
American Scottish Foundation,"Arts, culture, creative practices",1547,Staten Island,Great Kills,1956
American Scottish Foundation,"Arts, culture, creative practices",4232,Bronx,Mott Haven-Port Morris,1956
American Scottish Foundation,"Arts, culture, creative practices",4031,Brooklyn,Flatlands,1956
American Scottish Foundation,"Arts, culture, creative practices",3022,Brooklyn,Bath Beach,1956
American Scottish Foundation,"Arts, culture, creative practices",5877,Queens,Bayside-Bayside Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",5112,Queens,Woodhaven,1956
American Scottish Foundation,"Arts, culture, creative practices",5026,Queens,Forest Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",3997,Manhattan,East Harlem North,1956
American Scottish Foundation,"Arts, culture, creative practices",5892,Queens,Baisley Park,1956
American Scottish Foundation,"Arts, culture, creative practices",5970,Queens,South Jamaica,1956
American Scottish Foundation,"Arts, culture, creative practices",3641,Brooklyn,Flatbush,1956
American Scottish Foundation,"Arts, culture, creative practices",4569,Brooklyn,East New York,1956
American Scottish Foundation,"Arts, culture, creative practices",6126,Queens,St. Albans,1956
American Scottish Foundation,"Arts, culture, creative practices",5650,Queens,Pomonok-Flushing Heights-Hillcrest,1956
American Scottish Foundation,"Arts, culture, creative practices",5420,Queens,Kew Gardens,1956
American Scottish Foundation,"Arts, culture, creative practices",3385,Manhattan,Midtown-Midtown South,1956
American Scottish Foundation,"Arts, culture, creative practices",4405,Queens,Maspeth,1956
American Scottish Foundation,"Arts, culture, creative practices",4608,Bronx,Norwood,1956
American Scottish Foundation,"Arts, culture, creative practices",3559,Brooklyn,Windsor Terrace,1956
American Scottish Foundation,"Arts, culture, creative practices",3645,Brooklyn,Homecrest,1956
American Scottish Foundation,"Arts, culture, creative practices",6267,Queens,Douglas Manor-Douglaston-Little Neck,1956
American Scottish Foundation,"Arts, culture, creative practices",767,Staten Island,New Springville-Bloomfield-Travis,1956
American Scottish Foundation,"Arts, culture, creative practices",3174,Brooklyn,Dyker Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",5405,Queens,Whitestone,1956
American Scottish Foundation,"Arts, culture, creative practices",1079,Staten Island,Arden Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",4150,Bronx,West Concourse,1956
American Scottish Foundation,"Arts, culture, creative practices",6444,Queens,Rosedale,1956
American Scottish Foundation,"Arts, culture, creative practices",1391,Staten Island,Great Kills,1956
American Scottish Foundation,"Arts, culture, creative practices",3486,Brooklyn,Borough Park,1956
American Scottish Foundation,"Arts, culture, creative practices",768,Staten Island,Arden Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",4318,Queens,Astoria,1956
American Scottish Foundation,"Arts, culture, creative practices",3074,Manhattan,West Village,1956
American Scottish Foundation,"Arts, culture, creative practices",5815,Queens,Baisley Park,1956
American Scottish Foundation,"Arts, culture, creative practices",5328,Queens,Whitestone,1956
American Scottish Foundation,"Arts, culture, creative practices",3095,Brooklyn,Dyker Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",6278,Queens,Hollis,1956
American Scottish Foundation,"Arts, culture, creative practices",537,Staten Island,Rossville-Woodrow,1956
American Scottish Foundation,"Arts, culture, creative practices",3916,Manhattan,Washington Heights South,1956
American Scottish Foundation,"Arts, culture, creative practices",5659,Queens,South Jamaica,1956
American Scottish Foundation,"Arts, culture, creative practices",2320,Staten Island,Grasmere-Arrochar-Ft. Wadsworth,1956
American Scottish Foundation,"Arts, culture, creative practices",3723,Brooklyn,Homecrest,1956
American Scottish Foundation,"Arts, culture, creative practices",1007,Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville,1956
American Scottish Foundation,"Arts, culture, creative practices",3330,Brooklyn,Borough Park,1956
American Scottish Foundation,"Arts, culture, creative practices",4228,Bronx,East Concourse-Concourse Village,1956
American Scottish Foundation,"Arts, culture, creative practices",3238,Brooklyn,Brooklyn Heights-Cobble Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",460,Staten Island,Charleston-Richmond Valley-Tottenville,1956
American Scottish Foundation,"Arts, culture, creative practices",6209,Queens,Brookville,1956
American Scottish Foundation,"Arts, culture, creative practices",1621,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",2865,Brooklyn,Bay Ridge,1956
American Scottish Foundation,"Arts, culture, creative practices",3485,Brooklyn,Borough Park,1956
American Scottish Foundation,"Arts, culture, creative practices",5735,Queens,South Jamaica,1956
American Scottish Foundation,"Arts, culture, creative practices",612,Staten Island,Rossville-Woodrow,1956
American Scottish Foundation,"Arts, culture, creative practices",6033,Queens,Bayside-Bayside Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",4039,Brooklyn,Sheepshead Bay-Manhattan Beach,1956
American Scottish Foundation,"Arts, culture, creative practices",5891,Queens,South Jamaica,1956
American Scottish Foundation,"Arts, culture, creative practices",5255,Queens,Flushing,1956
American Scottish Foundation,"Arts, culture, creative practices",3954,Brooklyn,Flatlands,1956
American Scottish Foundation,"Arts, culture, creative practices",6111,Queens,Bayside-Bayside Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",5186,Queens,Forest Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",5484,Queens,Whitestone,1956
American Scottish Foundation,"Arts, culture, creative practices",3725,Brooklyn,Homecrest,1956
American Scottish Foundation,"Arts, culture, creative practices",4154,Bronx,Mott Haven-Port Morris,1956
American Scottish Foundation,"Arts, culture, creative practices",5263,Queens,Forest Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",5955,Queens,Bayside-Bayside Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",1163,Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville,1956
American Scottish Foundation,"Arts, culture, creative practices",3229,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,1956
American Scottish Foundation,"Arts, culture, creative practices",5025,Queens,Corona,1956
American Scottish Foundation,"Arts, culture, creative practices",5035,Queens,Woodhaven,1956
American Scottish Foundation,"Arts, culture, creative practices",1080,Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville,1956
American Scottish Foundation,"Arts, culture, creative practices",2243,Staten Island,Grasmere-Arrochar-Ft. Wadsworth,1956
American Scottish Foundation,"Arts, culture, creative practices",6590,Queens,Queens Village,1956
American Scottish Foundation,"Arts, culture, creative practices",4717,Queens,Middle Village,1956
American Scottish Foundation,"Arts, culture, creative practices",5571,Queens,Pomonok-Flushing Heights-Hillcrest,1956
American Scottish Foundation,"Arts, culture, creative practices",1859,Staten Island,Oakwood-Oakwood Beach,1956
American Scottish Foundation,"Arts, culture, creative practices",3413,Brooklyn,Bensonhurst East,1956
American Scottish Foundation,"Arts, culture, creative practices",6288,Queens,Brookville,1956
American Scottish Foundation,"Arts, culture, creative practices",3481,Brooklyn,Windsor Terrace,1956
American Scottish Foundation,"Arts, culture, creative practices",2241,Staten Island,Stapleton-Rosebank,1956
American Scottish Foundation,"Arts, culture, creative practices",6443,Queens,Rosedale,1956
American Scottish Foundation,"Arts, culture, creative practices",2782,Brooklyn,Bay Ridge,1956
American Scottish Foundation,"Arts, culture, creative practices",3842,Manhattan,Central Harlem South,1956
American Scottish Foundation,"Arts, culture, creative practices",1001,Staten Island,New Springville-Bloomfield-Travis,1956
American Scottish Foundation,"Arts, culture, creative practices",4407,Queens,Ridgewood,1956
American Scottish Foundation,"Arts, culture, creative practices",3626,Brooklyn,North Side-South Side,1956
American Scottish Foundation,"Arts, culture, creative practices",3846,Manhattan,East Harlem South,1956
American Scottish Foundation,"Arts, culture, creative practices",5254,Queens,Flushing,1956
American Scottish Foundation,"Arts, culture, creative practices",5172,Queens,College Point,1956
American Scottish Foundation,"Arts, culture, creative practices",5419,Queens,Briarwood-Jamaica Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",3772,Manhattan,Lenox Hill-Roosevelt Island,1956
American Scottish Foundation,"Arts, culture, creative practices",4310,Bronx,Mott Haven-Port Morris,1956
American Scottish Foundation,"Arts, culture, creative practices",5103,Queens,Forest Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",4187,Brooklyn,Flatlands,1956
American Scottish Foundation,"Arts, culture, creative practices",3397,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",918,Staten Island,New Springville-Bloomfield-Travis,1956
American Scottish Foundation,"Arts, culture, creative practices",4306,Bronx,East Concourse-Concourse Village,1956
American Scottish Foundation,"Arts, culture, creative practices",4006,Queens,Queensbridge-Ravenswood-Long Island City,1956
American Scottish Foundation,"Arts, culture, creative practices",4951,Queens,Middle Village,1956
American Scottish Foundation,"Arts, culture, creative practices",4447,Bronx,North Riverdale-Fieldston-Riverdale,1956
American Scottish Foundation,"Arts, culture, creative practices",6199,Queens,Hollis,1956
American Scottish Foundation,"Arts, culture, creative practices",4413,Brooklyn,Brownsville,1956
American Scottish Foundation,"Arts, culture, creative practices",3018,Brooklyn,Dyker Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",5264,Queens,Kew Gardens,1956
American Scottish Foundation,"Arts, culture, creative practices",4153,Bronx,Mott Haven-Port Morris,1956
American Scottish Foundation,"Arts, culture, creative practices",5640,Queens,Whitestone,1956
American Scottish Foundation,"Arts, culture, creative practices",6594,Queens,Cambria Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",4918,Bronx,Williamsbridge-Olinville,1956
American Scottish Foundation,"Arts, culture, creative practices",3386,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,1956
American Scottish Foundation,"Arts, culture, creative practices",5896,Queens,Brookville,1956
American Scottish Foundation,"Arts, culture, creative practices",5093,Queens,College Point,1956
American Scottish Foundation,"Arts, culture, creative practices",3838,Manhattan,Hamilton Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",3841,Manhattan,Central Harlem North-Polo Grounds,1956
American Scottish Foundation,"Arts, culture, creative practices",5333,Queens,Flushing,1956
American Scottish Foundation,"Arts, culture, creative practices",3482,Brooklyn,Kensington-Ocean Parkway,1956
American Scottish Foundation,"Arts, culture, creative practices",4233,Bronx,Mott Haven-Port Morris,1956
American Scottish Foundation,"Arts, culture, creative practices",5576,Queens,Briarwood-Jamaica Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",6047,Queens,St. Albans,1956
American Scottish Foundation,"Arts, culture, creative practices",6127,Queens,St. Albans,1956
American Scottish Foundation,"Arts, culture, creative practices",5649,Queens,Queensboro Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",4241,Queens,Astoria,1956
American Scottish Foundation,"Arts, culture, creative practices",3098,Brooklyn,Bath Beach,1956
American Scottish Foundation,"Arts, culture, creative practices",6365,Queens,Brookville,1956
American Scottish Foundation,"Arts, culture, creative practices",3567,Brooklyn,Bensonhurst East,1956
American Scottish Foundation,"Arts, culture, creative practices",3569,Brooklyn,Gravesend,1956
American Scottish Foundation,"Arts, culture, creative practices",1395,Staten Island,Great Kills,1956
American Scottish Foundation,"Arts, culture, creative practices",3541,Manhattan,Murray Hill-Kips Bay,1956
American Scottish Foundation,"Arts, culture, creative practices",4076,Bronx,Mott Haven-Port Morris,1956
American Scottish Foundation,"Arts, culture, creative practices",5581,Queens,South Ozone Park,1956
American Scottish Foundation,"Arts, culture, creative practices",3021,Brooklyn,Bath Beach,1956
American Scottish Foundation,"Arts, culture, creative practices",6140,Queens,Far Rockaway-Bayswater,1956
American Scottish Foundation,"Arts, culture, creative practices",1777,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",5966,Queens,Jamaica,1956
American Scottish Foundation,"Arts, culture, creative practices",3994,Manhattan,Central Harlem North-Polo Grounds,1956
American Scottish Foundation,"Arts, culture, creative practices",6048,Queens,St. Albans,1956
American Scottish Foundation,"Arts, culture, creative practices",5731,Queens,Briarwood-Jamaica Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",5814,Queens,South Jamaica,1956
American Scottish Foundation,"Arts, culture, creative practices",6189,Queens,Bayside-Bayside Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",3152,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,1956
American Scottish Foundation,"Arts, culture, creative practices",6423,Queens,Douglas Manor-Douglaston-Little Neck,1956
American Scottish Foundation,"Arts, culture, creative practices",3314,Manhattan,Lower East Side,1956
American Scottish Foundation,"Arts, culture, creative practices",5268,Queens,Richmond Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",4384,Bronx,Claremont-Bathgate,1956
American Scottish Foundation,"Arts, culture, creative practices",304,Staten Island,Charleston-Richmond Valley-Tottenville,1956
American Scottish Foundation,"Arts, culture, creative practices",3163,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,1956
American Scottish Foundation,"Arts, culture, creative practices",4568,Brooklyn,Cypress Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",5104,Queens,Forest Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",3086,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,1956
American Scottish Foundation,"Arts, culture, creative practices",3707,Brooklyn,Clinton Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",5174,Queens,College Point,1956
American Scottish Foundation,"Arts, culture, creative practices",1162,Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville,1956
American Scottish Foundation,"Arts, culture, creative practices",5106,Queens,Forest Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",5265,Queens,Richmond Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",5023,Queens,Corona,1956
American Scottish Foundation,"Arts, culture, creative practices",3721,Brooklyn,Midwood,1956
American Scottish Foundation,"Arts, culture, creative practices",3077,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,1956
American Scottish Foundation,"Arts, culture, creative practices",6220,Queens,Far Rockaway-Bayswater,1956
American Scottish Foundation,"Arts, culture, creative practices",3639,Brooklyn,Flatbush,1956
American Scottish Foundation,"Arts, culture, creative practices",5565,Queens,Murray Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",3332,Brooklyn,Bensonhurst West,1956
American Scottish Foundation,"Arts, culture, creative practices",5412,Queens,Flushing,1956
American Scottish Foundation,"Arts, culture, creative practices",3249,Brooklyn,Borough Park,1956
American Scottish Foundation,"Arts, culture, creative practices",4958,Queens,Ozone Park,1956
American Scottish Foundation,"Arts, culture, creative practices",3398,Brooklyn,Park Slope-Gowanus,1956
American Scottish Foundation,"Arts, culture, creative practices",5110,Queens,Richmond Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",3848,Manhattan,Yorkville,1956
American Scottish Foundation,"Arts, culture, creative practices",3568,Brooklyn,Bensonhurst East,1956
American Scottish Foundation,"Arts, culture, creative practices",4484,Queens,Ridgewood,1956
American Scottish Foundation,"Arts, culture, creative practices",6280,Queens,St. Albans,1956
American Scottish Foundation,"Arts, culture, creative practices",6279,Queens,Hollis,1956
American Scottish Foundation,"Arts, culture, creative practices",4383,Bronx,Claremont-Bathgate,1956
American Scottish Foundation,"Arts, culture, creative practices",3847,Manhattan,Yorkville,1956
American Scottish Foundation,"Arts, culture, creative practices",4112,Brooklyn,Georgetown-Mill Basin,1956
American Scottish Foundation,"Arts, culture, creative practices",3918,Manhattan,Central Harlem North-Polo Grounds,1956
American Scottish Foundation,"Arts, culture, creative practices",1158,Staten Island,Great Kills,1956
American Scottish Foundation,"Arts, culture, creative practices",3483,Brooklyn,Kensington-Ocean Parkway,1956
American Scottish Foundation,"Arts, culture, creative practices",5422,Queens,Richmond Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",6285,Queens,Laurelton,1956
American Scottish Foundation,"Arts, culture, creative practices",4151,Bronx,East Concourse-Concourse Village,1956
American Scottish Foundation,"Arts, culture, creative practices",6592,Queens,Cambria Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",3633,Brooklyn,Prospect Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",4917,Bronx,Woodlawn-Wakefield,1956
American Scottish Foundation,"Arts, culture, creative practices",3836,Manhattan,Washington Heights South,1956
American Scottish Foundation,"Arts, culture, creative practices",3317,Brooklyn,Brooklyn Heights-Cobble Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",6123,Queens,St. Albans,1956
American Scottish Foundation,"Arts, culture, creative practices",3565,Brooklyn,Ocean Parkway South,1956
American Scottish Foundation,"Arts, culture, creative practices",6300,Queens,Far Rockaway-Bayswater,1956
American Scottish Foundation,"Arts, culture, creative practices",3078,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,1956
American Scottish Foundation,"Arts, culture, creative practices",5908,Queens,Hammels-Arverne-Edgemere,1956
American Scottish Foundation,"Arts, culture, creative practices",5739,Queens,Baisley Park,1956
American Scottish Foundation,"Arts, culture, creative practices",3405,Brooklyn,Borough Park,1956
American Scottish Foundation,"Arts, culture, creative practices",4004,Queens,Old Astoria,1956
American Scottish Foundation,"Arts, culture, creative practices",3412,Brooklyn,Bensonhurst East,1956
American Scottish Foundation,"Arts, culture, creative practices",4839,Bronx,Woodlawn-Wakefield,1956
American Scottish Foundation,"Arts, culture, creative practices",5266,Queens,Richmond Hill,1956
